type,slug,image_url,hero_image_url,portrait_url,tagline,quote,city,country,source_url
perfume,bruno-banani-pride-edition-man,,,,,,,Germany,
perfume,bybozo-french-kiss,,,,,,,France,
perfume,brocard-cherry-lady,,,,,,,Russia,
perfume,ralph-lauren-polo-red-pride-edition,,,,,,,USA,
perfume,jean-paul-gaultier-le-male-pride-2023,,,,,,,France,
perfume,morph-pure-soul,,,,,,,Italy,
perfume,ralph-lauren-ralph-pride-edition,,,,,,,USA,
perfume,we-pink-waffle,,,,,,,Brazil,
perfume,jean-paul-gaultier-le-male-pride-edition,,,,,,,France,
perfume,byredo-baudelaire,,,,,,,Sweden,
perfume,michael-malul-london-visionair-midnight-blue,,,,,,,USA,
perfume,rook-perfumes-school,,,,,,,UK,
perfume,clean-clean-simply-soap,,,,,,,USA,
perfume,sospiro-perfumes-erba-oud,,,,,,,Italy,
perfume,jean-paul-gaultier-classique-pride-edition,,,,,,,France,
perfume,filippo-sorcinelli-cyber-sex,,,,,,,Italy,
perfume,navitus-parfums-oud-imperium,,,,,,,UAE,
perfume,franck-boclet-vetiver,,,,,,,France,
perfume,milton-lloyd-grasse-experience,,,,,,,UK,
perfume,filippo-sorcinelli-quickie-and-coffee,,,,,,,Italy,
perfume,in-the-box-aventhis,,,,,,,Brazil,
perfume,carolina-herrera-212-heroes-collector-edition,,,,,,,USA,
perfume,bohoboco-wild-carrot-oud,,,,,,,Poland,
perfume,aaron-terence-hughes-neroli,,,,,,,UK,
perfume,brocard-snow-palace,,,,,,,Russia,
perfume,il-profvmo-santal-rouge,,,,,,,Italy,
perfume,dzintars-titaniks,,,,,,,Latvia,
perfume,donna-karan-cashmere-wild-fig,,,,,,,USA,
perfume,zoologist-perfumes-dodo-edition-2020,,,,,,,Canada,
perfume,brocard-spring-bloom,,,,,,,Russia,
perfume,pokrovka-trading-house-charming-snowdrop,,,,,,,Russia,
perfume,ricardo-ramos-perfumes-de-autor-laaurora,,,,,,,Spain,
perfume,navitus-parfums-desir-infini,,,,,,,UAE,
perfume,bi-es-oshi,,,,,,,Poland,
perfume,paco-rabanne-1-million,,,,,,,Spain,
perfume,franck-boclet-cafe,,,,,,,France,
perfume,dsquared2-he-wood,,,,,,,Italy,
perfume,m-int-no-coward,,,,,,,Italy,
perfume,faberlic-collection-privee-brise-d-amour,,,,,,,Russia,
perfume,brocard-lesnaa-malina-i-dusica-wild-raspberries-and-oregano,,,,,,,Russia,
perfume,laura-biagiotti-roma-eau-de-toilette-rosa,,,,,,,Italy,
perfume,franck-boclet-flowers,,,,,,,France,
perfume,filippo-sorcinelli-popper-pop,,,,,,,Italy,
perfume,molinard-campus,,,,,,,France,
perfume,miguel-matos-veneno,,,,,,,Portugal,
perfume,i-profumi-di-firenze-tuberosa-d-autunno,,,,,,,Italy,
perfume,faberlic-uviolet,,,,,,,Russia,
perfume,avon-love-pulse,,,,,,,USA,
perfume,alexandre-j-western-leather-white,,,,,,,France,
perfume,mandarina-duck-scarlet-rain,,,,,,,Italy,
perfume,fragrance-du-bois-wild-orange,,,,,,,France,
perfume,we-pink-vf-virginia-fonseca-honey,,,,,,,Brazil,
perfume,caron-muguet-du-bonheur-2021,,,,,,,France,
perfume,zara-zara-homme,,,,,,,Spain,
perfume,disney-little-mermaid,,,,,,,USA,
perfume,jacques-bogart-bogart-citytower,,,,,,,France,
perfume,essence-like-a-million-miles-away,,,,,,,Germany,
perfume,vivamor-parfums-sweet-sin,,,,,,,France,
perfume,hermes-tutti-twilly-d-hermes,,,,,,,France,
perfume,bi-es-fiori-di-luna,,,,,,,Poland,
perfume,j-scent-wood-flake,,,,,,,Japan,
perfume,bi-es-sankai-black,,,,,,,Poland,
perfume,the-dua-brand-forest-oud,,,,,,,USA,
perfume,sarantis-c-thru-pearl-garden,,,,,,,Greece,
perfume,korres-blue-sage-lime-fir-wood,,,,,,,Greece,
perfume,the-body-shop-oceanus,,,,,,,UK,
perfume,abercrombie-fitch-away-weekend-man,,,,,,,USA,
perfume,avon-celebre-ice,,,,,,,USA,
perfume,faberlic-eye-to-eye-vlublena,,,,,,,Russia,
perfume,ricardo-ramos-perfumes-de-autor-shisha-lounge,,,,,,,Spain,
perfume,alyssa-ashley-purple-elixir,,,,,,,USA,
perfume,ellis-brooklyn-rives,,,,,,,USA,
perfume,jean-paul-gaultier-gaultier-divine-le-parfum,,,,,,,France,
perfume,boadicea-the-victorious-dragon,,,,,,,UK,
perfume,molinard-tubereuse-vertigineuse,,,,,,,France,
perfume,jo-malone-london-red-roses-cologne-2023,,,,,,,UK,
perfume,faberlic-flower-fresh,,,,,,,Russia,
perfume,diesel-d-red-by-diesel,,,,,,,Italy,
perfume,ds-durga-deep-dark-vanilla,,,,,,,USA,
perfume,anna-sui-dolly-girl-lil-starlet,,,,,,,USA,
perfume,rogue-perfumery-a-oud-ancienne,,,,,,,USA,
perfume,paris-elysees-vodka-pink,,,,,,,India,
perfume,o-boticario-men-brahma,,,,,,,Brazil,
perfume,comptoir-sud-pacifique-yucatan-secret,,,,,,,France,
perfume,ellis-brooklyn-vanilla-milk,,,,,,,USA,
perfume,avon-avon-luck-eau-so-happy,,,,,,,USA,
perfume,fcuk-fcuk-him,,,,,,,UK,
perfume,ellen-tracy-fashionista,,,,,,,USA,
perfume,cb-i-hate-perfume-revelation,,,,,,,USA,
perfume,lattafa-perfumes-muna,,,,,,,UAE,
perfume,zarkoperfume-e-l,,,,,,,Denmark,
perfume,bi-es-sin,,,,,,,Poland,
perfume,attar-collection-floral-musk,,,,,,,UAE,
perfume,bi-es-love-forever-white,,,,,,,Poland,
perfume,the-merchant-of-venice-asian-inspiration,,,,,,,Italy,
perfume,brocard-commedia-dell-arte,,,,,,,Russia,
perfume,calvin-klein-deep-euphoria,,,,,,,USA,
perfume,brocard-sea-sparkle,,,,,,,Russia,
perfume,mexx-mexx-spring-is-now-woman,,,,,,,Netherlands,
perfume,jousset-parfums-gourmand-bakhoor-dehn-al-oud,,,,,,,France,
perfume,parfums-genty-colore-colore-violet,,,,,,,Russia,
perfume,antonio-puig-aqua-quorum,,,,,,,Spain,
perfume,bi-es-cherry-bloom,,,,,,,Poland,
perfume,the-woods-collection-north-star,,,,,,,France,
perfume,house-of-sillage-whispers-of-strength,,,,,,,USA,
perfume,naomi-campbell-here-to-stay,,,,,,,USA,
perfume,sergio-tacchini-active-water,,,,,,,Italy,
perfume,navitus-parfums-opulentas,,,,,,,UAE,
perfume,teo-cabanel-deja-vu,,,,,,,France,
perfume,clean-clean-baby-girl,,,,,,,USA,
perfume,haute-fragrance-company-hfc-sweet-spoiled,,,,,,,France,
perfume,thameen-bravi,,,,,,,UK,
perfume,oriza-l-legrand-vetiver-royal-bourbon,,,,,,,France,
perfume,o-boticario-capricho-day,,,,,,,Brazil,
perfume,avon-aspire,,,,,,,USA,
perfume,les-liquides-imaginaires-sirenis,,,,,,,France,
perfume,salvador-dali-lovely-kiss,,,,,,,Spain,
perfume,boy-smells-cashmere-kush,,,,,,,USA,
perfume,lanvin-my-sin,,,,,,,France,
perfume,electimuss-fortuna,,,,,,,UK,
perfume,tiziana-terenzi-poggia,,,,,,,Italy,
perfume,masque-milano-lost-alice,,,,,,,Italy,
perfume,faberlic-cherchez-la-femme,,,,,,,Russia,
perfume,antonio-maretti-dominant,,,,,,,Italy,
perfume,avon-cherish-escape,,,,,,,USA,
perfume,shakira-dream,,,,,,,USA,
perfume,commodity-paper,,,,,,,USA,
perfume,borntostandout-zest-z-t,,,,,,,South Korea,
perfume,bi-es-crystal,,,,,,,Poland,
perfume,brocard-pink-taxi,,,,,,,Russia,
perfume,jo-malone-london-rose-amber-cologne-2024,,,,,,,UK,
perfume,jousset-parfums-rituel-a-l-encens-noir,,,,,,,France,
perfume,antonio-banderas-electric-seduction-in-black,,,,,,,USA,
perfume,brocard-cherry-lady-delicious,,,,,,,Russia,
perfume,house-of-sillage-whispers-of-time,,,,,,,USA,
perfume,cartier-declaration-d-un-soir-intense,,,,,,,France,
perfume,santa-maria-novella-muschio-oro,,,,,,,Italy,
perfume,creed-aventus-oil,,,,,,,France,
perfume,dior-bonne-etoile-baby-dior,,,,,,,France,
perfume,serge-lutens-sidi-bel-abbes,,,,,,,France,
perfume,wilgermain-more-is-more,,,,,,,Spain,
perfume,etro-shantung,,,,,,,Italy,
perfume,brocard-shahrazad-saherezada,,,,,,,Russia,
perfume,max-philip-pineapple,,,,,,,France,
perfume,pinrose-campfire-rebel,,,,,,,USA,
perfume,max-philip-maroon,,,,,,,France,
perfume,guerlain-xi-an,,,,,,,France,
perfume,faberlic-oceanica,,,,,,,Russia,
perfume,avon-summer-white,,,,,,,USA,
perfume,acqua-di-stresa-osmanthus-fragrans,,,,,,,Italy,
perfume,oriflame-puressence-by-ecobeauty,,,,,,,Sweden,
perfume,ojar-kashmir-print-eau-de-parfum,,,,,,,Oman,
perfume,lubin-magda,,,,,,,France,
perfume,ulric-de-varens-varens-original-borneo-dream,,,,,,,France,
perfume,avon-pretty-glamorous,,,,,,,USA,
perfume,xerjoff-amabile,,,,,,,Italy,
perfume,fragrance-du-bois-velvet-amber,,,,,,,France,
perfume,bi-es-les-fashion-stiletto,,,,,,,Poland,
perfume,rammstein-zwinger,,,,,,,Germany,
perfume,oriflame-frey,,,,,,,Sweden,
perfume,m-asam-no-1,,,,,,,Germany,
perfume,avon-baby-smell,,,,,,,USA,
perfume,zoologist-perfumes-dodo,,,,,,,Canada,
perfume,puma-jamaica-2-woman,,,,,,,Germany,
perfume,juliette-has-a-gun-lili-fantasy,,,,,,,France,
perfume,lulu-castagnette-lulucastagnette,,,,,,,France,
perfume,commodity-paper-2,,,,,,,USA,
perfume,el-nabil-musk-makkah,,,,,,,France,
perfume,brocard-water-ivy,,,,,,,Russia,
perfume,floraiku-one-umbrella-for-two,,,,,,,France,
perfume,electimuss-gladiator-oud,,,,,,,UK,
perfume,nicolai-parfumeur-createur-angelys-pear,,,,,,,France,
perfume,ds-durga-plumes,,,,,,,USA,
perfume,prada-prada-paradoxe-virtual-flower,,,,,,,Italy,
perfume,o-boticario-floratta-in-gold,,,,,,,Brazil,
perfume,gisada-gisada-donna,,,,,,,Switzerland,
perfume,adolfo-dominguez-u,,,,,,,Spain,
perfume,jean-paul-gaultier-le-male-xmas-limited-edition,,,,,,,France,
perfume,antonio-maretti-walk-of-shame,,,,,,,Italy,
perfume,faberlic-alatau,,,,,,,Russia,
perfume,thera-cosmeticos-malta,,,,,,,Brazil,
perfume,eva-longoria-eva,,,,,,,USA,
perfume,lanvin-eclat-d-arpege-limited-edition,,,,,,,France,
perfume,the-dua-brand-alpha-aoud,,,,,,,USA,
perfume,nafnaf-nafnaf-too,,,,,,,France,
perfume,ted-baker-x2o-extraordinary-for-women,,,,,,,UK,
perfume,o-boticario-banho-de-sorte,,,,,,,Brazil,
perfume,armaf-blue-homme,,,,,,,UAE,
perfume,avon-scentini-citrus-chill,,,,,,,USA,
perfume,moresque-alma-pure,,,,,,,Italy,
perfume,replay-tank-custom-for-him,,,,,,,Italy,
perfume,fragrance-du-bois-pm,,,,,,,France,
perfume,solstice-scents-gin-flower,,,,,,,USA,
perfume,mexx-mexx-waterlove-man,,,,,,,Netherlands,
perfume,jean-charles-brosseau-fleurs-d-ombre-bergamote,,,,,,,France,
perfume,lotus-lotus-oud,,,,,,,Iran,
perfume,police-to-be-goodvibes-for-him,,,,,,,Italy,
perfume,yardley-english-dahlia-fragrance-mist,,,,,,,UK,
perfume,bruno-banani-absolute-woman,,,,,,,Germany,
perfume,salvatore-ferragamo-amo-ferragamo-oriental-wood,,,,,,,Italy,
perfume,betty-barclay-chic,,,,,,,Germany,
perfume,les-parfums-de-rosine-bleu-abysse,,,,,,,France,
perfume,yves-saint-laurent-black-opium-storm-illusion,,,,,,,France,
perfume,zara-till-sunrise,,,,,,,Spain,
perfume,avon-summer-white-bright,,,,,,,USA,
perfume,mexx-life-is-now-for-her,,,,,,,Netherlands,
perfume,by-kilian-rose-oud,,,,,,,France,
perfume,alexandre-j-the-majestic-oud,,,,,,,France,
perfume,widian-liwa,,,,,,,UAE,
perfume,azzaro-mademoiselle-azzaro-l-intense-eau-de-parfum,,,,,,,France,
perfume,paolo-gigli-libeccio,,,,,,,Italy,
perfume,absolument-parfumeur-absolument-femme,,,,,,,France,
perfume,kkw-fragrance-body,,,,,,,USA,
perfume,replay-stone-supernova-for-him,,,,,,,Italy,
perfume,avon-up-to-you-for-her,,,,,,,USA,
perfume,shay-blue-london-kings-wood,,,,,,,UK,
perfume,dame-perfumery-sky-father,,,,,,,USA,
perfume,calvin-klein-pure-gold-euphoria-women,,,,,,,USA,
perfume,acqua-di-parma-zafferano-collector-edition,,,,,,,Italy,
perfume,montale-mango-manga,,,,,,,France,
perfume,maison-francis-kurkdjian-aqua-universalis-cologne-forte,,,,,,,France,
perfume,axe-alaska,,,,,,,Denmark,
perfume,natura-intensa,,,,,,,Brazil,
perfume,faberlic-intense,,,,,,,Russia,
perfume,baruti-oh-my-deer,,,,,,,Netherlands,
perfume,czech-speake-citrus-paradisi-cologne,,,,,,,Czech Republic,
perfume,dame-perfumery-lime-gardenia-benzoin,,,,,,,USA,
perfume,paris-hilton-fairy-dust,,,,,,,USA,
perfume,sapientiae-niche-a-gloria-da-manha,,,,,,,Brazil,
perfume,pokrovka-trading-house-luxurious-peony,,,,,,,Russia,
perfume,vivamor-parfums-rouge-imperiale,,,,,,,France,
perfume,bybozo-black-mafia,,,,,,,France,
perfume,commodity-juice,,,,,,,USA,
perfume,al-rehab-musk-al-ghazal,,,,,,,Arabia saudi,
perfume,zara-dark-wash,,,,,,,Spain,
perfume,ellen-tracy-inspire,,,,,,,USA,
